1==1,[in position #3681->223]
2==2,[in position #16429->2]
3==3,[in position #12079->1]

ERROR->[3]disambiguation cell : 762
disambiguationContent : 82
final cell: 72846
final value:89057
89057 != 4

5==5,[in position #7007->284]
6==6,[in position #12106->10]
7==7,[in position #9182->1]
8==8,[in position #14737->1728]
9==9,[in position #11638->299]
10==10,[in position #4868->1]
11==11,[in position #1709->97]
12==12,[in position #15307->50]
13==13,[in position #15759->105]
14==14,[in position #13250->111]
15==15,[in position #1584->1]
16==16,[in position #16189->2]
17==17,[in position #1777->16]
18==18,[in position #7620->33]
19==19,[in position #8954->86]
20==20,[in position #14779->295]
21==21,[in position #17697->56]
22==22,[in position #6386->51]
23==23,[in position #11877->113]
24==24,[in position #11751->875]
25==25,[in position #19637->3]
26==26,[in position #6886->1]
27==27,[in position #5110->608]
28==28,[in position #12151->8128]
29==29,[in position #13243->27]
30==30,[in position #3257->50]
31==31,[in position #6785->291]
32==32,[in position #4204->33]
33==33,[in position #2646->67]
34==34,[in position #14217->6]
35==35,[in position #2784->22]
36==36,[in position #5251->1210]
37==37,[in position #4392->9]
38==38,[in position #6511->32]
39==39,[in position #9079->3]
40==40,[in position #15180->14]
41==41,[in position #19282->3258]
42==42,[in position #12199->3]
43==43,[in position #18956->81]
44==44,[in position #6226->8]
45==45,[in position #367->1]
46==46,[in position #17090->13]
47==47,[in position #5714->116]
48==48,[in position #5442->62]
49==49,[in position #7295->16]
50==50,[in position #19536->212]
51==51,[in position #19904->9936]
52==52,[in position #13255->28]
53==53,[in position #10964->4850]
54==54,[in position #14197->505]
55==55,[in position #14178->1]
56==56,[in position #5978->2]
57==57,[in position #13321->77]
58==58,[in position #4620->6]
59==59,[in position #19578->1]
60==60,[in position #1649->98]
61==61,[in position #12424->24]
62==62,[in position #16602->1]
63==63,[in position #10830->709]
64==64,[in position #13865->16]
65==65,[in position #11391->5]
66==66,[in position #1509->154]
67==67,[in position #16099->144]
68==68,[in position #18392->8]
