1==1,[in position #49->15]
2==2,[in position #243->1]
3==3,[in position #232->1]
4==4,[in position #144->55]
5==5,[in position #252->80]
6==6,[in position #160->186]
7==7,[in position #229->4294967087]
8==8,[in position #110->1]
9==9,[in position #32->2]
10==10,[in position #80->10]
11==11,[in position #240->6]
12==12,[in position #75->34]
13==13,[in position #128->1]
14==14,[in position #151->32]
15==15,[in position #169->1]
16==16,[in position #288->40]
17==17,[in position #183->91]
18==18,[in position #156->4]
19==19,[in position #201->1]
20==20,[in position #299->1183]
21==21,[in position #117->133]
22==22,[in position #238->121]
23==23,[in position #192->4]
24==24,[in position #92->18]
25==25,[in position #93->33]
26==26,[in position #234->4294967107]
27==27,[in position #196->23]
28==28,[in position #52->1]
29==29,[in position #247->3]
30==30,[in position #79->13]
31==31,[in position #200->5]
32==32,[in position #263->4]
33==33,[in position #66->47]
34==34,[in position #77->9]
35==35,[in position #11->11]
36==36,[in position #11->11]
37==37,[in position #261->4294967176]
38==38,[in position #250->1]
39==39,[in position #232->1]
40==40,[in position #242->1270]
41==41,[in position #257->19]
42==42,[in position #35->15]
43==43,[in position #272->4294967179]
44==44,[in position #154->71]
45==45,[in position #203->9]
46==46,[in position #172->14]
47==47,[in position #147->1]
48==48,[in position #249->1]
49==49,[in position #85->9]
50==50,[in position #201->1]
51==51,[in position #142->80]
52==52,[in position #132->104]
53==53,[in position #156->4]
54==54,[in position #67->6]
55==55,[in position #226->2]
56==56,[in position #166->7]
57==57,[in position #85->9]
58==58,[in position #257->19]
59==59,[in position #244->11]
60==60,[in position #19->1]
61==61,[in position #164->2]
62==62,[in position #5->1]
63==63,[in position #223->866]
64==64,[in position #120->7]
65==65,[in position #155->4]
66==66,[in position #107->14]
67==67,[in position #263->4]
68==68,[in position #159->3]
69==69,[in position #213->1]
70==70,[in position #292->94]
71==71,[in position #297->16]
72==72,[in position #17->5]
73==73,[in position #290->8]
74==74,[in position #204->98]
75==75,[in position #116->30]
76==76,[in position #155->4]
77==77,[in position #32->2]
78==78,[in position #95->18]
79==79,[in position #114->7]
80==80,[in position #285->1]
81==81,[in position #290->8]
82==82,[in position #224->11]
83==83,[in position #171->2]
84==84,[in position #95->18]
85==85,[in position #5->1]
86==86,[in position #183->91]
87==87,[in position #110->1]
88==88,[in position #63->12]
89==89,[in position #109->18]
90==90,[in position #87->1]
91==91,[in position #251->1]
92==92,[in position #264->8]
93==93,[in position #75->34]
94==94,[in position #98->8]
95==95,[in position #144->55]
96==96,[in position #14->3]
97==97,[in position #139->1]
98==98,[in position #298->89]
99==99,[in position #156->4]
100==100,[in position #16->1]
101==101,[in position #153->312]
102==102,[in position #246->36]
103==103,[in position #39->3]
104==104,[in position #57->20]
105==105,[in position #76->30]
106==106,[in position #61->4]
107==107,[in position #137->14]
108==108,[in position #259->8]
109==109,[in position #161->9]
110==110,[in position #61->4]
111==111,[in position #82->1]
112==112,[in position #98->8]
113==113,[in position #168->393]
114==114,[in position #190->1]
115==115,[in position #267->3]
116==116,[in position #82->1]
117==117,[in position #181->7]
118==118,[in position #269->39]
119==119,[in position #99->1]
120==120,[in position #81->28]
121==121,[in position #282->11]
122==122,[in position #169->1]
123==123,[in position #29->1]
124==124,[in position #163->5]
125==125,[in position #55->2]
126==126,[in position #136->147]
127==127,[in position #16->1]
128==128,[in position #231->19]
129==129,[in position #278->46]
130==130,[in position #133->84]
