1==1,[in position #589->13]
2==2,[in position #1539->485]
3==3,[in position #1045->1]
4==4,[in position #1417->6]
5==5,[in position #748->122]
6==6,[in position #1374->9]
7==7,[in position #1713->8]
8==8,[in position #1985->4329]
9==9,[in position #1413->29]
10==10,[in position #172->54]
11==11,[in position #547->516]
12==12,[in position #1684->346]
13==13,[in position #1585->16279]
14==14,[in position #319->4]
15==15,[in position #1020->46]
16==16,[in position #904->1238]
17==17,[in position #601->4]
18==18,[in position #30->7]
19==19,[in position #1016->8]
20==20,[in position #1820->4294966562]
21==21,[in position #1923->2141]
22==22,[in position #1987->1183]
23==23,[in position #397->58]
24==24,[in position #144->3]
25==25,[in position #1574->1]
26==26,[in position #226->35]
27==27,[in position #898->213]
28==28,[in position #324->53]
29==29,[in position #697->19]
30==30,[in position #1843->7]
31==31,[in position #1919->7]
32==32,[in position #677->18]
33==33,[in position #1107->63]
34==34,[in position #1734->3]
35==35,[in position #1756->120]
36==36,[in position #325->3]
37==37,[in position #522->313]
38==38,[in position #1157->29]
39==39,[in position #1625->1409]
40==40,[in position #792->4]
41==41,[in position #1046->2]
42==42,[in position #131->254]
43==43,[in position #1095->2]
44==44,[in position #868->722]
45==45,[in position #346->78]
46==46,[in position #1254->350]
47==47,[in position #1630->2]
48==48,[in position #786->134]
49==49,[in position #1991->13]
50==50,[in position #1086->1554]
51==51,[in position #1497->19]
52==52,[in position #761->25]
53==53,[in position #1971->66]
54==54,[in position #1910->10]
55==55,[in position #205->3]
56==56,[in position #1056->1862]
57==57,[in position #1936->101]
58==58,[in position #130->39]
59==59,[in position #441->299]
60==60,[in position #1066->1252]
61==61,[in position #820->3]
62==62,[in position #1470->456]
63==63,[in position #1437->11]
64==64,[in position #1498->4]
65==65,[in position #1177->17]
66==66,[in position #486->129]
67==67,[in position #912->227]
68==68,[in position #1258->2120]
69==69,[in position #1661->1]
70==70,[in position #196->1]
71==71,[in position #481->1090]
72==72,[in position #1610->202]
73==73,[in position #1822->2105]
74==74,[in position #1699->153]
75==75,[in position #1418->67]
76==76,[in position #1088->378]
77==77,[in position #1286->1603]
78==78,[in position #731->1]
79==79,[in position #697->19]
80==80,[in position #1180->236]
81==81,[in position #349->3]
82==82,[in position #545->6]
83==83,[in position #1342->45]
84==84,[in position #1134->37]
85==85,[in position #1289->1]
86==86,[in position #563->62]
87==87,[in position #151->148]
88==88,[in position #1708->331]
89==89,[in position #1126->5]
90==90,[in position #274->583]
91==91,[in position #1459->3]
92==92,[in position #1131->376]
93==93,[in position #1571->16]
94==94,[in position #173->27]
95==95,[in position #1390->73]
96==96,[in position #966->4]
97==97,[in position #1443->2061]
98==98,[in position #233->34]
99==99,[in position #155->1]
100==100,[in position #36->24]
101==101,[in position #1587->14]
102==102,[in position #1735->52]
103==103,[in position #1898->24204]
104==104,[in position #1257->15]
105==105,[in position #474->1]
106==106,[in position #152->645]
107==107,[in position #1380->90]
108==108,[in position #618->29]
109==109,[in position #1926->1534]
110==110,[in position #248->146]
111==111,[in position #1686->1]
112==112,[in position #855->4]
113==113,[in position #1213->25]
114==114,[in position #1840->66]
115==115,[in position #818->1]
116==116,[in position #1534->12]
117==117,[in position #1996->2897]
118==118,[in position #70->1]
119==119,[in position #1801->11121]
120==120,[in position #514->3]
121==121,[in position #1303->51]
122==122,[in position #443->39]
123==123,[in position #546->2522]
124==124,[in position #1036->8]
125==125,[in position #1210->5]
