1==1,[in position #8467->16]
2==2,[in position #22540->6]
3==3,[in position #6718->26]
4==4,[in position #27657->190]
5==5,[in position #824->5]
6==6,[in position #6575->259]
7==7,[in position #1981->1]
8==8,[in position #11793->55]
9==9,[in position #28669->27]
10==10,[in position #17145->7]
11==11,[in position #11628->146]
12==12,[in position #5226->7]
13==13,[in position #8641->4]
14==14,[in position #19051->1]
15==15,[in position #22531->4]
16==16,[in position #4050->1]
17==17,[in position #6673->1]
18==18,[in position #8289->2]
19==19,[in position #27390->3]
20==20,[in position #25684->22]
21==21,[in position #6586->1]
22==22,[in position #14479->1]
23==23,[in position #19855->110]
24==24,[in position #4844->14]
25==25,[in position #20207->7]
26==26,[in position #12323->11]
27==27,[in position #18623->4]
28==28,[in position #21641->7]
29==29,[in position #877->10]
30==30,[in position #12222->2]
31==31,[in position #23604->1]
32==32,[in position #7365->9]
33==33,[in position #8178->19]
34==34,[in position #5952->15]
35==35,[in position #3162->13]
36==36,[in position #16845->10]
37==37,[in position #15474->4294917408]
38==38,[in position #23770->1]
39==39,[in position #7231->100]
40==40,[in position #6015->4]
41==41,[in position #24877->2]
42==42,[in position #7556->75]
43==43,[in position #25776->1]
44==44,[in position #13325->3]
45==45,[in position #1725->67]
46==46,[in position #22968->3]
47==47,[in position #13947->23]
48==48,[in position #14277->4294912482]
49==49,[in position #26980->2]
50==50,[in position #14271->50]
51==51,[in position #9089->38]
52==52,[in position #16484->4294920903]
53==53,[in position #7407->97]
54==54,[in position #6946->42]
55==55,[in position #18402->49]
56==56,[in position #4438->3]
57==57,[in position #22995->6]
58==58,[in position #21518->313]
59==59,[in position #1503->10]
60==60,[in position #13973->2]
61==61,[in position #5617->9]
62==62,[in position #12158->34]
63==63,[in position #28511->474]
64==64,[in position #11071->9]
65==65,[in position #24374->1]
66==66,[in position #20880->1]
67==67,[in position #13032->1]
68==68,[in position #24703->1]
69==69,[in position #3886->38]
70==70,[in position #1292->7]
71==71,[in position #16887->1]
72==72,[in position #12194->51]
73==73,[in position #26469->14]
74==74,[in position #18872->4]
75==75,[in position #21934->102]
76==76,[in position #5221->3]
77==77,[in position #5412->4294885151]
78==78,[in position #24230->20]
79==79,[in position #3142->2]
80==80,[in position #1800->50]
81==81,[in position #22619->1]
82==82,[in position #11802->60]
83==83,[in position #10829->1]
84==84,[in position #18865->4294927550]
85==85,[in position #3136->7]
86==86,[in position #2555->1]
87==87,[in position #15702->1]
88==88,[in position #12250->25]
89==89,[in position #7096->3]
90==90,[in position #19693->43]
91==91,[in position #2704->22]
92==92,[in position #6681->17]
93==93,[in position #6656->1]
94==94,[in position #22755->26]
95==95,[in position #8284->27]
96==96,[in position #22375->220]
97==97,[in position #3592->5]
98==98,[in position #299->1]
99==99,[in position #8611->2]
100==100,[in position #20709->1]
101==101,[in position #5672->4294886210]
102==102,[in position #2419->8]
103==103,[in position #26047->4]
104==104,[in position #4769->2]
105==105,[in position #21087->3]
106==106,[in position #7088->2]
107==107,[in position #9378->7]
108==108,[in position #27298->353]
109==109,[in position #13526->4294909897]
110==110,[in position #14324->15]
111==111,[in position #207->1]
112==112,[in position #13776->7]
113==113,[in position #27445->4]
114==114,[in position #10356->161]
115==115,[in position #22982->243]
116==116,[in position #12177->466]
117==117,[in position #14912->10]
118==118,[in position #19502->51]
119==119,[in position #17048->68]
120==120,[in position #5289->3]
121==121,[in position #22604->169]
122==122,[in position #8787->1]
123==123,[in position #2778->2]
124==124,[in position #14101->2]
125==125,[in position #22382->459]
126==126,[in position #22715->8]
127==127,[in position #18544->3]
128==128,[in position #9614->2]
129==129,[in position #15251->4294916493]
130==130,[in position #4181->30]
131==131,[in position #25048->17]
132==132,[in position #16186->3]
133==133,[in position #21453->247]
134==134,[in position #11920->3]
135==135,[in position #24437->121]
136==136,[in position #23277->15]
137==137,[in position #20488->2]
138==138,[in position #25242->20]
139==139,[in position #14899->43]
140==140,[in position #20178->42]
141==141,[in position #13346->3]
142==142,[in position #23811->264]
143==143,[in position #29853->29]
144==144,[in position #23599->11]
145==145,[in position #11893->1]
146==146,[in position #351->9]
147==147,[in position #961->4]
148==148,[in position #15722->37]
149==149,[in position #6248->6]
150==150,[in position #16623->8]
151==151,[in position #18040->110]
152==152,[in position #28014->8]
153==153,[in position #2408->13]
154==154,[in position #8157->9]
155==155,[in position #14367->11]
156==156,[in position #716->5]
157==157,[in position #28379->731]
158==158,[in position #9359->1]
159==159,[in position #14221->1]
160==160,[in position #15562->14]
161==161,[in position #27300->3]
162==162,[in position #23136->28]
163==163,[in position #6667->19]
164==164,[in position #9706->60]
165==165,[in position #377->4294868662]
166==166,[in position #16427->22]
167==167,[in position #14827->15]
168==168,[in position #24693->6]
169==169,[in position #10106->1]
170==170,[in position #18137->7]
171==171,[in position #5064->55]
172==172,[in position #27983->8]
173==173,[in position #2467->36]
174==174,[in position #20533->33]
175==175,[in position #19494->17]
176==176,[in position #7393->3]
177==177,[in position #7005->1]
178==178,[in position #26363->9]
179==179,[in position #18411->45]
180==180,[in position #27865->14]
181==181,[in position #14743->163]
182==182,[in position #27005->1]
183==183,[in position #17689->152]
184==184,[in position #23195->1]
185==185,[in position #24619->1]
186==186,[in position #9845->1]
187==187,[in position #24354->365]
188==188,[in position #28776->58]
189==189,[in position #2656->7]
190==190,[in position #28961->2]
191==191,[in position #13778->24]
192==192,[in position #19402->2]
193==193,[in position #7085->6]
194==194,[in position #16577->2]
195==195,[in position #1045->2]
196==196,[in position #12464->3]
197==197,[in position #27885->7]
198==198,[in position #23645->13]
199==199,[in position #2626->3]
200==200,[in position #9815->5]
201==201,[in position #28319->69]
202==202,[in position #5900->1]
203==203,[in position #24782->12]
204==204,[in position #6808->23]
205==205,[in position #12695->3]
206==206,[in position #9265->4294896612]
207==207,[in position #19170->10]
208==208,[in position #5418->43]
209==209,[in position #22412->2]
210==210,[in position #28187->84]
211==211,[in position #2214->5]
212==212,[in position #14927->212]
213==213,[in position #16711->43]
214==214,[in position #13988->26]
215==215,[in position #22881->6]
216==216,[in position #2693->2]
217==217,[in position #24055->155]
218==218,[in position #18559->533]
219==219,[in position #13581->6]
220==220,[in position #24355->4294946785]
221==221,[in position #1567->5]
222==222,[in position #8395->4]
223==223,[in position #27723->26]
224==224,[in position #15135->8]
225==225,[in position #990->13]
226==226,[in position #6254->2]
227==227,[in position #9384->1]
228==228,[in position #5812->29]
229==229,[in position #13126->22]
230==230,[in position #2434->9]
231==231,[in position #27632->12]
232==232,[in position #6337->77]
233==233,[in position #12845->1]
234==234,[in position #7005->1]
235==235,[in position #7529->1]
236==236,[in position #29037->1]
237==237,[in position #26284->1]
238==238,[in position #15128->4]
239==239,[in position #2529->7]
240==240,[in position #28762->275]
241==241,[in position #22558->10]
242==242,[in position #8971->3]
243==243,[in position #28176->1]
244==244,[in position #24480->61]
245==245,[in position #15011->1]
246==246,[in position #27205->244]
247==247,[in position #23411->55]
248==248,[in position #9751->6]
249==249,[in position #9760->3]
250==250,[in position #26242->6]
251==251,[in position #21623->83]
252==252,[in position #25571->106]
253==253,[in position #16116->5]
254==254,[in position #29008->680]
255==255,[in position #22752->44]
256==256,[in position #25486->117]
257==257,[in position #20216->175]
258==258,[in position #23298->2]
259==259,[in position #6529->17]
260==260,[in position #21682->7]
261==261,[in position #27875->31]
262==262,[in position #13607->4294910140]
263==263,[in position #7144->16]
264==264,[in position #18076->13]
265==265,[in position #29611->4]
266==266,[in position #22013->3]
267==267,[in position #2916->1]
268==268,[in position #1671->19]
269==269,[in position #1549->1]
270==270,[in position #11809->1]
271==271,[in position #10967->2]
272==272,[in position #17969->6]
273==273,[in position #28809->5]
274==274,[in position #1608->4]
275==275,[in position #13000->2]
276==276,[in position #6585->25]
277==277,[in position #3117->2]
278==278,[in position #27524->2]
279==279,[in position #7275->9]
280==280,[in position #11381->1]
281==281,[in position #3910->16]
282==282,[in position #28844->37]
283==283,[in position #3944->10]
284==284,[in position #4028->14]
285==285,[in position #18590->11]
286==286,[in position #19827->5]
287==287,[in position #1896->8]
288==288,[in position #20069->7]
289==289,[in position #3141->28]
290==290,[in position #2043->4]
291==291,[in position #27342->159]
292==292,[in position #23576->55]
293==293,[in position #16712->27]
294==294,[in position #12464->3]
295==295,[in position #27214->1867]
296==296,[in position #9828->17]
297==297,[in position #4875->121]
298==298,[in position #26201->6]
299==299,[in position #17498->16]
300==300,[in position #1038->1]
301==301,[in position #29937->9]
302==302,[in position #5509->72]
303==303,[in position #3946->3]
304==304,[in position #17445->19]
305==305,[in position #15930->50]
306==306,[in position #11075->5]
307==307,[in position #11671->28]
308==308,[in position #10326->1]
309==309,[in position #20351->232]
310==310,[in position #29214->52]
311==311,[in position #18189->4]
312==312,[in position #12106->2]
313==313,[in position #15726->3]
314==314,[in position #20643->8]
315==315,[in position #1601->1]
316==316,[in position #17455->162]
317==317,[in position #18423->110]
318==318,[in position #6679->1]
319==319,[in position #23645->13]
320==320,[in position #24165->7]
321==321,[in position #17052->22]
322==322,[in position #17407->91]
