231==231,[in position #3939->9]
232==232,[in position #3930->1]
233==233,[in position #1126->1]
234==234,[in position #1808->420]

ERROR->[234]disambiguation cell : 3109
disambiguationContent : 1
final cell: 13491
final value:5405
5405 != 235

236==236,[in position #3510->7]
237==237,[in position #2736->155]
238==238,[in position #2216->1]
239==239,[in position #1455->827]
240==240,[in position #184->251]
241==241,[in position #1271->1]
242==242,[in position #2788->3775]
243==243,[in position #288->356]
244==244,[in position #3847->384]
245==245,[in position #128->1]
246==246,[in position #3713->41]
247==247,[in position #3780->811]
248==248,[in position #1333->1]
249==249,[in position #1434->65]
250==250,[in position #1870->121]
251==251,[in position #2595->17]
252==252,[in position #2301->1]
253==253,[in position #3814->872]
254==254,[in position #986->35]
255==255,[in position #52->4]
256==256,[in position #3922->33339]
257==257,[in position #1422->57]
258==258,[in position #1612->2]
259==259,[in position #3414->123]
260==260,[in position #1420->14]
261==261,[in position #3273->68]
262==262,[in position #2971->634]
263==263,[in position #496->52]
264==264,[in position #2792->1]
265==265,[in position #2136->3]
266==266,[in position #1363->11]
267==267,[in position #1514->28]
268==268,[in position #2462->548]
269==269,[in position #687->1]
270==270,[in position #1074->1009]
271==271,[in position #3149->11458]
272==272,[in position #3369->213]
273==273,[in position #1563->38]
274==274,[in position #663->1]
275==275,[in position #1303->38]
276==276,[in position #1170->503]
277==277,[in position #617->196]
278==278,[in position #867->1]
279==279,[in position #2642->2695]
280==280,[in position #3721->1]
281==281,[in position #2794->8]
282==282,[in position #1699->4]
283==283,[in position #1555->9]
284==284,[in position #1806->35]
285==285,[in position #1518->3]
286==286,[in position #2382->1398]
287==287,[in position #2529->147]
288==288,[in position #1266->191]
289==289,[in position #3086->19]
290==290,[in position #2688->4484]
291==291,[in position #1647->80]
292==292,[in position #755->135]
293==293,[in position #1973->38]
294==294,[in position #1325->50]
295==295,[in position #1743->73]
296==296,[in position #1938->11]
297==297,[in position #997->15]
298==298,[in position #618->2152]
299==299,[in position #1042->148]
300==300,[in position #136->5]
301==301,[in position #3546->95]
302==302,[in position #247->432]
303==303,[in position #1196->3]
304==304,[in position #96->67]
305==305,[in position #2891->349]
306==306,[in position #2192->23]
307==307,[in position #3309->307]
308==308,[in position #1824->423]
309==309,[in position #1286->3]
310==310,[in position #254->7]
311==311,[in position #1883->1]
312==312,[in position #3680->1735]
313==313,[in position #1741->1]
314==314,[in position #3103->230]
315==315,[in position #2105->26]
316==316,[in position #1618->1]
317==317,[in position #3554->1214]
318==318,[in position #2904->1434]
319==319,[in position #2221->144]
320==320,[in position #2462->548]
321==321,[in position #1010->2]
322==322,[in position #733->64]
323==323,[in position #1218->8]
324==324,[in position #2309->486]
325==325,[in position #471->7]
326==326,[in position #159->1]
327==327,[in position #297->57]
328==328,[in position #1286->3]
329==329,[in position #2579->412]
330==330,[in position #513->1]
331==331,[in position #273->618]
332==332,[in position #1886->7]
333==333,[in position #2005->4]
334==334,[in position #3014->614]
335==335,[in position #2416->305]
336==336,[in position #3102->1569]
337==337,[in position #1106->868]
338==338,[in position #1438->510]
