1==1,[in position #13117->16]
2==2,[in position #1074->5]
3==3,[in position #11559->57]
4==4,[in position #10435->26]
5==5,[in position #5204->66]
6==6,[in position #11847->3]
7==7,[in position #8326->26]
8==8,[in position #14453->411]
9==9,[in position #3298->3]
10==10,[in position #3424->21]
11==11,[in position #5194->1]
12==12,[in position #4062->4]
13==13,[in position #4796->21]
14==14,[in position #9766->1]
15==15,[in position #11447->11]
16==16,[in position #3100->11]
17==17,[in position #13935->1]
18==18,[in position #9798->28]
19==19,[in position #7644->6]
20==20,[in position #14781->12]
21==21,[in position #8667->1]
22==22,[in position #14523->132]
23==23,[in position #8862->2]
24==24,[in position #9382->2]
25==25,[in position #6205->68]
26==26,[in position #5878->27]
27==27,[in position #12847->23]
28==28,[in position #13195->5]
29==29,[in position #11546->43]
30==30,[in position #6381->2]
31==31,[in position #7352->10]
32==32,[in position #675->1]
33==33,[in position #2913->3]
34==34,[in position #1833->64]
35==35,[in position #11998->6]
36==36,[in position #13999->379]
37==37,[in position #6308->5]
38==38,[in position #11477->107]
39==39,[in position #1945->17]
40==40,[in position #14692->949]
41==41,[in position #780->27]
42==42,[in position #13893->4294963428]
43==43,[in position #11475->35]
44==44,[in position #14157->1]
45==45,[in position #9480->22]
46==46,[in position #3321->1]
47==47,[in position #7780->1]
48==48,[in position #8957->81]
49==49,[in position #12439->103]
50==50,[in position #9368->4]
51==51,[in position #9636->13]
52==52,[in position #11695->4294956449]
53==53,[in position #3758->16]
54==54,[in position #5883->14]
55==55,[in position #13087->21]
56==56,[in position #14857->16]
57==57,[in position #11792->2]
58==58,[in position #13574->74]
59==59,[in position #5098->22]
60==60,[in position #155->7]
61==61,[in position #11117->5]
62==62,[in position #12708->126]
63==63,[in position #7215->2]
64==64,[in position #2653->21]
65==65,[in position #10838->88]
66==66,[in position #8290->13]
67==67,[in position #12137->44]
68==68,[in position #4018->1]
69==69,[in position #13509->14]
70==70,[in position #406->73]
71==71,[in position #4374->2]
72==72,[in position #12720->3]
73==73,[in position #10680->66]
74==74,[in position #4518->1]
75==75,[in position #10083->1]
76==76,[in position #4072->21]
77==77,[in position #5807->97]
78==78,[in position #14056->22]
79==79,[in position #13952->3]
80==80,[in position #178->1]
81==81,[in position #7872->11]
82==82,[in position #11264->15]
83==83,[in position #8937->1]
84==84,[in position #3665->10]
85==85,[in position #12686->9]
86==86,[in position #5006->40]
87==87,[in position #625->1]
88==88,[in position #12941->106]
89==89,[in position #14750->847]
90==90,[in position #8833->1]
91==91,[in position #2550->4294927359]
92==92,[in position #13536->232]
93==93,[in position #2496->5]
94==94,[in position #1921->26]
95==95,[in position #164->3]
96==96,[in position #6936->32]
97==97,[in position #13662->4]
98==98,[in position #8934->347]
99==99,[in position #12340->142]
100==100,[in position #9179->9]
101==101,[in position #3943->2]
